







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:11 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:11 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:12 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0








root:	 win_komis:1669192	 total_komis:3659126	 total_plays:75552
Node:0 0	win_komis:1995	 total_komis:4149	 total_plays:89	 pattern_win:0
Node:0 1	win_komis:0	 total_komis:344	 total_plays:3	 pattern_win:0
Node:0 2	win_komis:1520	 total_komis:3174	 total_plays:63	 pattern_win:0
Node:0 3	win_komis:17	 total_komis:405	 total_plays:5	 pattern_win:0
Node:0 4	win_komis:530	 total_komis:1434	 total_plays:33	 pattern_win:0
Node:0 5	win_komis:4793	 total_komis:8991	 total_plays:192	 pattern_win:0
Node:0 6	win_komis:499	 total_komis:1239	 total_plays:38	 pattern_win:0
Node:0 7	win_komis:2338	 total_komis:4708	 total_plays:99	 pattern_win:0
